bbl,longitude,latitude,ntaname,ntacode,county_fips
1020540062,-73.9400382,40.8293706,Hamilton Heights,MN04,061
1016380045,-73.9433738,40.7949452,East Harlem South,MN33,061
3018100052,-73.9425709,40.6873725,Bedford,BK75,047
2055140122,-73.8102254,40.8239382,Schuylerville-Throgs Neck-Edgewater Park,BX52,005
1003440046,-73.9828031,40.7191672,Lower East Side,MN28,061
1003900020,-73.9795149,40.7249663,Lower East Side,MN28,061
1013460049,-73.9663988,40.7569533,Turtle Bay-East Midtown,MN19,061
1014320036,-73.9567727,40.772919,Lenox Hill-Roosevelt Island,MN31,061
1008870030,-73.9801116,40.7444762,Murray Hill-Kips Bay,MN20,061
1015800016,-73.9470277,40.7735874,Yorkville,MN32,061
1015100042,-73.9566152,40.776295,Upper East Side-Carnegie Hill,MN40,061
4067060001,-73.8141791,40.7239811,Kew Gardens Hills,QN37,081
3002410012,-73.9970032,40.6957666,Brooklyn Heights-Cobble Hill,BK09,047
2027920044,-73.9069794,40.8443018,Mount Hope,BX41,005
4114210013,-73.8443079,40.6681943,Lindenwood-Howard Beach,QN57,081
3017850033,-73.9458816,40.6910686,Bedford,BK75,047
1013930040,-73.9611794,40.7756105,Upper East Side-Carnegie Hill,MN40,061
1014910062,-73.9623953,40.7770711,Upper East Side-Carnegie Hill,MN40,061
1003970033,-73.983744,40.7219862,East Village,MN22,061
